Πρόγραμμα 'Καλλικράτης' (Ενημερώσεις μέχρι 31/12/2010),,,,
"(1) ΕΠΙΠΕΔΑ: 1=Μεγάλες γεωγραφικές ενότητες, 2=Αποκεντρωμένες Διοικήσεις, 3=Περιφέρειες, 4=Περιφεριακές ενότητες, 5=Δήμοι, 6=Δημοτικές Ενότητες, 7=Δημοτικές/Τοπικές Κοινότητες, 8=Οικισμοί",,,,
"(2) ΚΩΔΙΚΟΙ για:  Μεγάλες γεωγραφικές ενότητες, Αποκεντρωμένες Διοικήσεις, Περιφέρειες",,,,
,Επίπεδο (1),Κωδικοί,,Περιγραφή 
α/α,,(2), Κωδικός ΚΑΛΛΙΚΡΑΤΗ,
,,,,
1,1,1, ,ΒΟΡΕΙΑ ΕΛΛΑΔΑ
2,2,11, ,ΑΠΟΚΕΝΤΡΩΜΕΝΗ ΔΙΟΙΚΗΣΗ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ
3,3,111, ,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ
4,4,111,01,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΡΟΔΟΠΗΣ
5,5,111,0101,ΔΗΜΟΣ ΚΟΜΟΤΗΝΗΣ
6,6,111,010101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΟΜΟΤΗΝΗΣ
7,7,111,01010101,Δημοτική Κοινότητα Κομοτηνής
8,8,111,0101010101,"Κομοτηνή,η"
9,8,111,0101010102,"Ήφαιστος,ο"
10,8,111,0101010103,"Μέγα Κρανοβούνιον,το"
11,8,111,0101010104,"Μεσοχώριον,το"
12,8,111,0101010105,"Μικρόν Κρανοβούνιον,το"
13,8,111,0101010106,"Παραδημή,η"
14,8,111,0101010107,"Σχολή Αστυνομίας,η"
15,8,111,0101010108,"Υφανταί,οι"
16,7,111,01010102,Τοπική Κοινότητα Ανθοχωρίου
17,8,111,0101010201,"Ανθοχώριον,το"
18,7,111,01010103,Τοπική Κοινότητα Γρατίνης
19,8,111,0101010301,"Γρατινή,η"
20,7,111,01010104,Τοπική Κοινότητα Θρυλορίου
21,8,111,0101010401,"Θρυλόριον,το"
22,8,111,0101010402,"Ροδίτης,ο"
23,8,111,0101010403,"Φύλακας,ο"
24,7,111,01010105,Τοπική Κοινότητα Ιτέας
25,8,111,0101010501,"Ιτέα,η"
26,7,111,01010106,Τοπική Κοινότητα Κάλχαντος
27,8,111,0101010601,"Κάλχας,ο"
28,8,111,0101010602,"Ιάμπολις,η"
29,8,111,0101010603,"Μεγάλη Άδα,η"
30,8,111,0101010604,"Μύτικας,ο"
31,8,111,0101010605,"Σαρακηνή,η"
32,8,111,0101010606,"Τυχηρόν,το"
33,7,111,01010107,Τοπική Κοινότητα Καρυδιάς
34,8,111,0101010701,"Καρυδιά,η"
35,7,111,01010108,Τοπική Κοινότητα Κηκιδίου
36,8,111,0101010801,"Κηκίδιον,το"
37,7,111,01010109,Τοπική Κοινότητα Κοσμίου
38,8,111,0101010901,"Κόσμιον,το"
39,7,111,01010110,Τοπική Κοινότητα Πανδρόσου
40,8,111,0101011001,"Πάνδροσος,η"
41,8,111,0101011002,"Νυμφαία,η"
42,8,111,0101011003,"Σύμβολα,τα"
43,7,111,01010111,Τοπική Κοινότητα Σιδηράδων
44,8,111,0101011101,"Σιδηράδες,οι"
45,7,111,01010112,Τοπική Κοινότητα Στυλάριου
46,8,111,0101011201,"Στυλάριον,το"
47,6,111,010102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΙΓΕΙΡΟΥ
48,7,111,01010201,Τοπική Κοινότητα Αιγείρου
49,8,111,0101020101,"Αίγειρος,η"
50,8,111,0101020102,"Αγροτικόν Ορφανοτροφείον,το"
51,8,111,0101020103,"Μεσσούνη,η"
52,7,111,01010202,Τοπική Κοινότητα Αρωγής
53,8,111,0101020201,"Αρωγή,η"
54,7,111,01010203,Τοπική Κοινότητα Γλυφάδας
55,8,111,0101020301,"Γλυφάδα,η"
56,7,111,01010204,Τοπική Κοινότητα Καλλίστης
57,8,111,0101020401,"Καλλίστη,η"
58,7,111,01010205,Τοπική Κοινότητα Μελέτης
59,8,111,0101020501,"Μελέτη,η"
60,7,111,01010206,Τοπική Κοινότητα Μέσης
61,8,111,0101020601,"Μέση,η"
62,7,111,01010207,Τοπική Κοινότητα Νέας Καλλίστης
63,8,111,0101020701,"Νέα Καλλίστη,η"
64,7,111,01010208,Τοπική Κοινότητα Παραλίας Μέσης
65,8,111,0101020801,"Παραλία Μέσης,η"
66,7,111,01010209,Τοπική Κοινότητα Πόρπης
67,8,111,0101020901,"Πόρπη,η"
68,7,111,01010210,Τοπική Κοινότητα Φαναρίου
69,8,111,0101021001,"Φανάριον,το"
70,6,111,010103,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΝΕΟΥ ΣΙΔΗΡΟΧΩΡΙΟΥ
71,7,111,01010301,Τοπική Κοινότητα Νέου Σιδηροχωρίου
72,8,111,0101030101,"Νέον Σιδηροχώριον,το"
73,8,111,0101030102,"Αδριανή,η"
74,8,111,0101030103,"Καλαμόκαστρον,το"
75,8,111,0101030104,"Μαυρομμάτιον,το"
76,8,111,0101030105,"Μικρόν Δουκάτον,το"
77,7,111,01010302,Τοπική Κοινότητα Αγίων Θεοδώρων
78,8,111,0101030201,"Άγιοι Θεόδωροι,οι"
79,7,111,01010303,Τοπική Κοινότητα Μεγάλου Δουκάτου
80,8,111,0101030301,"Μέγα Δουκάτον,το"
81,7,111,01010304,Τοπική Κοινότητα Παγουρίων
82,8,111,0101030401,"Παγούρια,τα"
83,5,111,0102,ΔΗΜΟΣ ΑΡΡΙΑΝΩΝ
84,6,111,010201,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΦΙΛΛΥΡΑΣ
85,7,111,01020101,Τοπική Κοινότητα Φιλλύρας
86,8,111,0102010101,"Φιλλύρα,η"
87,7,111,01020102,Τοπική Κοινότητα Άγρας
88,8,111,0102010201,"Άγρα,η"
89,7,111,01020103,Τοπική Κοινότητα Άνω Δροσίνης
90,8,111,0102010301,"Άνω Δροσινή,η"
91,7,111,01020104,Τοπική Κοινότητα Αράτου
92,8,111,0102010401,"Άρατος,ο"
93,7,111,01020105,Τοπική Κοινότητα Αρδείας
94,8,111,0102010501,"Αρδεία,η"
95,7,111,01020106,Τοπική Κοινότητα Αρχοντικών
96,8,111,0102010601,"Αρχοντικά,τα"
97,7,111,01020107,Τοπική Κοινότητα Βραγιάς
98,8,111,0102010701,"Βραγιά,η"
99,7,111,01020108,Τοπική Κοινότητα Δοκού
100,8,111,0102010801,"Δοκός,η"
101,7,111,01020109,Τοπική Κοινότητα Δροσιάς
102,8,111,0102010901,"Δροσιά,η"
103,7,111,01020110,Τοπική Κοινότητα Δρύμης
104,8,111,0102011001,"Δρύμη,η"
105,7,111,01020111,Τοπική Κοινότητα Εσοχής
106,8,111,0102011101,"Εσοχή,η"
107,7,111,01020112,Τοπική Κοινότητα Κάτω Δροσινής
108,8,111,0102011201,"Κάτω Δροσινή,η"
109,7,111,01020113,Τοπική Κοινότητα Λαμπρού
110,8,111,0102011301,"Λαμπρόν,το"
111,7,111,01020114,Τοπική Κοινότητα Νέου Καλλυντήριου
112,8,111,0102011401,"Νέον Καλλυντήριον,το"
113,7,111,01020115,Τοπική Κοινότητα Νεύρων
114,8,111,0102011501,"Νεύρα,τα"
115,7,111,01020116,Τοπική Κοινότητα Ομηρικού
116,8,111,0102011601,"Ομηρικόν,το"
117,7,111,01020117,Τοπική Κοινότητα Πάσσου
118,8,111,0102011701,"Πάσσος,ο"
119,7,111,01020118,Τοπική Κοινότητα Πατερμών
120,8,111,0102011801,"Πατερμά,τα"
121,7,111,01020119,Τοπική Κοινότητα Ραγάδας
122,8,111,0102011901,"Ραγάδα,η"
123,7,111,01020120,Τοπική Κοινότητα Σκιάδας
124,8,111,0102012001,"Σκιάδα,η"
125,6,111,010202,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΡΡΙΑΝΩΝ
126,7,111,01020201,Τοπική Κοινότητα Αρριανών
127,8,111,0102020101,"Αρριανά,τα"
128,7,111,01020202,Τοπική Κοινότητα Αγιοχωρίου
129,8,111,0102020201,"Αγιοχώριον,το"
130,7,111,01020203,Τοπική Κοινότητα Δαρμένης
131,8,111,0102020301,"Δαρμένη,η"
132,7,111,01020204,Τοπική Κοινότητα Δειλινών
133,8,111,0102020401,"Δειλινά,τα"
134,7,111,01020205,Τοπική Κοινότητα Ηπίου
135,8,111,0102020501,"Ήπιον,το"
136,7,111,01020206,Τοπική Κοινότητα Κινύρων
137,8,111,0102020601,"Κίνυρα,τα"
