LEV,CD,DSCR_GR
1,0,ΛΟΙΠΗ ΣΤΕΡΕΑ ΕΛΛΑΣ ΚΑΙ ΕΥΒΟΙΑ 
1,1,ΠΕΛΟΠΟΝΝΗΣΟΣ                  
1,2,ΙΟΝΙΟΙ ΝΗΣΟΙ                  
1,3,ΗΠΕΙΡΟΣ                       
1,4,ΘΕΣΣΑΛΙΑ                      
1,5,ΜΑΚΕΔΟΝΙΑ                     
1,7,ΘΡΑΚΗ                         
1,8,ΝΗΣΟΙ ΑΙΓΑΙΟΥ                 
1,9,ΚΡΗΤΗ                         
1,A,ΑΤΤΙΚΗ
2,01,ΝΟΜΟΣ ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ
2,03,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ
2,04,ΝΟΜΟΣ ΕΥΒΟΙΑΣ
2,05,ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ
2,06,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ
2,07,ΝΟΜΟΣ ΦΩΚΙΔΟΣ
2,11,ΝΟΜΟΣ ΑΡΓΟΛΙΔΟΣ
2,12,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ
2,13,ΝΟΜΟΣ ΑΧΑΙΑΣ
2,14,ΝΟΜΟΣ ΗΛΕΙΑΣ
2,15,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ
2,16,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ
2,17,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ
2,21,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ
2,22,ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ
2,23,ΝΟΜΟΣ ΚΕΦΑΛΛΗΝΙΑΣ
2,24,ΝΟΜΟΣ ΛΕΥΚΑΔΟΣ
2,31,ΝΟΜΟΣ ΑΡΤΗΣ
2,32,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ
2,33,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ
2,34,ΝΟΜΟΣ ΠΡΕΒΕΖΗΣ
2,41,ΝΟΜΟΣ ΚΑΡΔΙΤΣΗΣ
2,42,ΝΟΜΟΣ ΛΑΡΙΣΗΣ
2,43,ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ
2,44,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ
2,51,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ
2,52,ΝΟΜΟΣ ΔΡΑΜΑΣ
2,53,ΝΟΜΟΣ ΗΜΑΘΙΑΣ
2,54,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ
2,55,ΝΟΜΟΣ ΚΑΒΑΛΑΣ
2,56,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ
2,57,ΝΟΜΟΣ ΚΙΛΚΙΣ
2,58,ΝΟΜΟΣ ΚΟΖΑΝΗΣ
2,59,ΝΟΜΟΣ ΠΕΛΛΗΣ
2,61,ΝΟΜΟΣ ΠΙΕΡΙΑΣ
2,62,ΝΟΜΟΣ ΣΕΡΡΩΝ
2,63,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ
2,64,ΝΟΜΟΣ ΧΑΛΚΙΔΙΚΗΣ
2,65,ΑΓΙΟN ΟΡΟΣ
2,71,ΝΟΜΟΣ ΕΒΡΟΥ
2,72,ΝΟΜΟΣ ΞΑΝΘΗΣ
2,73,ΝΟΜΟΣ ΡΟΔΟΠΗΣ
2,81,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ
2,82,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ
2,83,ΝΟΜΟΣ ΛΕΣΒΟΥ
2,84,ΝΟΜΟΣ ΣΑΜΟΥ
2,85,ΝΟΜΟΣ ΧΙΟΥ
2,91,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ
2,92,ΝΟΜΟΣ ΛΑΣΙΘΙΟΥ
2,93,ΝΟΜΟΣ ΡΕΘΥΜΝΗΣ
2,94,ΝΟΜΟΣ ΧΑΝΙΩΝ
2,A1,ΝΟΜΑΡΧΙΑ ΑΘΗΝΩΝ
2,A2,ΝΟΜΑΡΧΙΑ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ
2,A3,ΝΟΜΑΡΧΙΑ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ
2,A4,ΝΟΜΑΡΧΙΑ ΠΕΙΡΑΙΩΣ
3,011,ΕΠΑΡΧΙΑ ΒΑΛΤΟΥ
3,012,ΕΠΑΡΧΙΑ ΒΟΝΙΤΣΗΣ ΚΑΙ ΞΗΡΟΜΕΡΟΥ
3,013,ΕΠΑΡΧΙΑ ΜΕΣΟΛΟΓΓΙΟΥ
3,014,ΕΠΑΡΧΙΑ ΝΑΥΠΑΚΤΙΑΣ
3,015,ΕΠΑΡΧΙΑ ΤΡΙΧΩΝΙΔΟΣ
3,031,ΕΠΑΡΧΙΑ ΘΗΒΩΝ
3,032,ΕΠΑΡΧΙΑ ΛΕΒΑΔΕΙΑΣ
3,041,ΕΠΑΡΧΙΑ ΙΣΤΙΑΙΑΣ
3,042,ΕΠΑΡΧΙΑ ΚΑΡΥΣΤΙΑΣ
3,043,ΕΠΑΡΧΙΑ ΧΑΛΚΙΔΟΣ
3,051,ΕΠΑΡΧΙΑ ΕΥΡΥΤΑΝΙΑΣ
3,061,ΕΠΑΡΧΙΑ ΔΟΜΟΚΟΥ
3,062,ΕΠΑΡΧΙΑ ΛΟΚΡΙΔΟΣ
3,063,ΕΠΑΡΧΙΑ ΦΘΙΩΤΙΔΟΣ
3,071,ΕΠΑΡΧΙΑ ΔΩΡΙΔΟΣ
3,072,ΕΠΑΡΧΙΑ ΠΑΡΝΑΣΣΙΔΟΣ
3,111,ΕΠΑΡΧΙΑ ΑΡΓΟΥΣ
3,112,ΕΠΑΡΧΙΑ ΕΡΜΙΟΝΙΔΟΣ
3,113,ΕΠΑΡΧΙΑ ΝΑΥΠΛΙΑΣ
3,121,ΕΠΑΡΧΙΑ ΓΟΡΤΥΝΙΑΣ
3,122,ΕΠΑΡΧΙΑ ΚΥΝΟΥΡΙΑΣ
3,123,ΕΠΑΡΧΙΑ ΜΑΝΤΙΝΕΙΑΣ
3,124,ΕΠΑΡΧΙΑ ΜΕΓΑΛΟΠΟΛΕΩΣ
3,131,ΕΠΑΡΧΙΑ ΑΙΓΙΑΛΕΙΑΣ
3,132,ΕΠΑΡΧΙΑ ΚΑΛΑΒΡΥΤΩΝ
3,133,ΕΠΑΡΧΙΑ ΠΑΤΡΩΝ
3,141,ΕΠΑΡΧΙΑ ΗΛΕΙΑΣ
3,142,ΕΠΑΡΧΙΑ ΟΛΥΜΠΙΑΣ
3,151,ΕΠΑΡΧΙΑ ΚΟΡΙΝΘΙΑΣ
3,161,ΕΠΑΡΧΙΑ ΓΥΘΕΙΟΥ
3,162,ΕΠΑΡΧΙΑ ΕΠΙΔΑΥΡΟΥ ΛΙΜΗΡΑΣ
3,163,ΕΠΑΡΧΙΑ ΛΑΚΕΔΑΙΜΟΝΟΣ
3,164,ΕΠΑΡΧΙΑ ΟΙΤΥΛΟΥ
3,171,ΕΠΑΡΧΙΑ ΚΑΛΑΜΩΝ
